Rank,Country,2000,2008,2015,2023,Absolute change since 2015,% change since 2015
92,Comoros,38.2,30.4,24,22.7,-1.3,-5.4
93,Djibouti,44.4,33.9,29.6,23,-6.6,-22.3
94,Tanzania (United Rep. of),40.7,30.2,24.6,23.2,-1.4,-5.7
95,Uganda,35,29,27.8,25.2,-2.6,-9.4
96,Rwanda,49.7,33.1,28.3,25.4,-2.9,-10.2
97,Burkina Faso,45,33.7,28,25.5,-2.5,-8.9
98,Mali,41.9,32.2,27.1,25.6,-1.5,-5.5
99,Angola,64.9,42.9,25.7,25.9,0.2,0.8
100,Syrian Arab Republic,13.9,16.2,23.9,26.1,2.2,9.2
101,Ethiopia,53.3,40.5,26.5,26.2,-0.3,-1.1
102,Pakistan,36.7,31.3,28.8,26.6,-2.2,-7.6
103,Sudan,—,—,28.5,27,-1.5,-5.3
104,Guinea,40.2,29.3,28.4,27.1,-1.3,-4.6
105,Papua New Guinea,33.5,32.9,28.5,27.4,-1.1,-3.9
106,DPR Korea,39.5,30.4,24.8,27.8,#N/A,#N/A
107,Congo (Republic of),34.6,32.4,26.2,28,1.8,6.9
107,Zimbabwe,35.5,30.7,27.6,28,0.4,1.4
109,Nigeria,39.9,31.2,27.8,28.3,0.5,1.8
110,Zambia,53.2,44.9,33.2,28.5,-4.7,-14.2
111,India,38.4,35.5,29.2,28.7,-0.5,-1.7
112,Timor-Leste,—,46.5,35.9,29.9,-6,-16.7
113,Mozambique,48.2,35.6,37,30.5,-6.5,-17.6
114,Afghanistan,49.6,36.5,30.4,30.6,0.2,0.7
115,Haiti,40.3,40.2,30.1,31.1,1,3.3
116,Sierra Leone,57.4,45.4,32.8,31.3,-1.5,-4.6
117,Liberia,48,36.4,32.9,32.2,-0.7,-2.1
118,Guinea-Bissau,37.7,29.6,33.3,33,-0.3,-0.9
119,Chad,50.6,49.9,40.1,34.6,-5.5,-13.7
120,Niger,53.3,39.5,35.2,35.1,-0.1,-0.3
121,Lesotho,32.5,27.8,30.6,35.5,4.9,16
122,Dem. Rep. of the Congo,46.3,40.2,36.4,35.7,-0.7,-1.9
123,Yemen,41.4,37.8,42.1,39.9,-2.2,-5.2
124,Madagascar,42.4,36.6,38.9,41,2.1,5.4
125,Central African Republic,48.2,43.7,44,42.3,-1.7,-3.9
